lap2-0.csv,lap2-0.csv (from view of ref lap),lap2-1.csv,lap2-1.csv (from view of ref lap),lap2-10.csv,lap2-10.csv (from view of ref lap),lap2-11.csv,lap2-11.csv (from view of ref lap),lap2-12.csv,lap2-12.csv (from view of ref lap),lap2-13.csv,lap2-13.csv (from view of ref lap),lap2-14.csv,lap2-14.csv (from view of ref lap),lap2-15.csv,lap2-15.csv (from view of ref lap),lap2-16.csv,lap2-16.csv (from view of ref lap),lap2-2.csv,lap2-2.csv (from view of ref lap),lap2-3.csv,lap2-3.csv (from view of ref lap),lap2-4.csv,lap2-4.csv (from view of ref lap),lap2-5.csv,lap2-5.csv (from view of ref lap),lap2-6.csv,lap2-6.csv (from view of ref lap),lap2-7.csv,lap2-7.csv (from view of ref lap),lap2-8.csv,lap2-8.csv (from view of ref lap),lap2-9.csv,lap2-9.csv (from view of ref lap),lap3-0.csv,lap3-0.csv (from view of ref lap),lap3-1.csv,lap3-1.csv (from view of ref lap),lap3-2.csv,lap3-2.csv (from view of ref lap),lap3-3.csv,lap3-3.csv (from view of ref lap),lap3-4.csv,lap3-4.csv (from view of ref lap)
12.8345494238,13.9238072675,9.01983248134,6.87141482939,10.0785939318,24.2311193324,68.605701177,4.21517739157,59.5349666566,10.7117138652,23.649064237,4.61711806923,291.149198294,78.621354012,51.7571427183,85.0942742149,76.3122623476,703.1758271797239,17.4695627114,11.6377171369,13.7231763673,7.07640167993,27.2529250166,7.64092124143,3.28826847764,14.7608704436,20.3913369061,10.9098709653,27.1205798808,3.00611633921,7.70656113474,4.71760112461,10.2618411135,31.6619339803,63.973620145,27.7565295097,104.837737078,47.5314651711,84.5583846169,48.328236903944166,100.643413193,108.513197315,225.475451687,253.8071395147206
13.5688644609,11.1023725369,8.07305548352,7.18579324607,10.1803978162,22.7491062309,68.595520757,5.70288710805,60.6140888502,10.072123341,22.6819263992,4.1677751173,289.571236646,73.0616077485,51.7469622256,92.1605600532,76.0679327747,719.6614340352775,15.6778127116,12.0025359581,12.2877402235,7.07640183182,26.4079520146,6.59897736212,5.54831674935,17.5441908171,19.6685286499,10.2214693285,26.2756068488,1.73657298373,7.58439638895,4.54577959929,12.4099049693,31.3245540093,64.6964283499,23.7467412832,105.937220103,41.9162103605,86.0243618793,44.8586557772,101.00990746,98.4951124997,228.152896339,260.8155166800393
13.9459894825,10.674712936,4.61172019968,9.07206402699,9.68155838305,22.9557971612,67.8625321108,6.29013491723,60.8482380332,11.2404731904,23.5268994011,4.68874706287,287.270466793,66.3396797684,51.0139736821,98.304597384,75.9457680289,736.1137737670533,11.8499831003,10.8253776028,11.5751123273,5.46136648307,27.2529250166,7.119949270925998,6.96339214312,20.0150867644,18.8235556179,8.68460141844,26.9984150536,2.86132476639,6.86158813276,2.35880064921,14.6801337338,28.3056072008,63.1286471431,22.2484244088,106.354616453,38.2826396328,86.7675309155,42.7742284321,101.376401839,89.7796116762,230.219517112,270.05949177815353
14.4135558761,9.11798401746,2.81997016985,9.33344703963,10.0276919305,21.4367947649,66.2845704626,7.92856696464,60.4817436844,11.1578226062,24.3718724932,3.18833332832,286.537478117,60.3667495756,51.1259580679,106.04854371,76.5464115393,752.6056747677268,10.6588765508,11.2461520168,9.54921316588,5.50386805921,27.3750898438,6.86717939115,9.94624872239,22.4613752582,19.6685286499,9.39645400086,26.2756068488,1.4050591744,6.13877992792,2.31873181833,15.5047458744,27.2263999487,64.6964283499,19.4403707845,106.609126313,33.3674478906,88.2335082079,38.7877487131,100.897923074,80.1966427964,232.286137885,278.62928208605933
14.5872131732,9.01834885582,1.87319322339,10.6854884206,9.65101722175,21.5718157331,66.7528687559,8.64893552237,60.115249417,11.2748809869,23.5268994011,2.69782046713,283.39173518,52.214277125,51.1157776779,113.487511686,75.5792737828,770.6442185821841,8.50063223228,9.92530593445,7.86944749186,3.23198265025,27.6194193654,6.65010054572,11.3613240135,23.7467413582,18.8235556179,7.11852573839,26.9984150536,2.84231646271,6.98375292991,0.0747978303216,18.0193042204,24.0100944782,63.973620145,17.3990367371,106.863636276,30.0923633215,90.4222937264,35.4713430606,101.987225679,70.92981349401336,233.62995038,290.06747703658414
15.290349561,8.3477043026,0.0814431935673,11.5560281501,9.51867199591,19.7855668226,67.1091827147,10.0977033067,60.5937280402,11.369265893,24.3718724932,3.08399238546,279.401019161,45.3843429555,50.5049538589,121.568775911,76.1799171605,787.9162969882514,7.06519610119,9.13985003208,6.91249013407,2.64481723235,25.5731594239,6.49362761294,13.6286850202,24.386951324900814,19.6685286499,7.10387604726,26.2756068488,2.46719391777,6.13877992792,0.786266872018,20.6560272523,22.6369118992,64.6964283499,15.255818075,107.118146218,25.8584991385,91.7661062517,32.0070505711,101.508747077,62.1531333635,234.851598181,301.07758954071403
14.8770968047,7.40158172949,0.987498580062,12.6181631499,10.2312998921,18.644104459,66.7426883359,11.2728664745,60.3493985186,11.4225256742,23.7712289741,1.25178369873,277.100249256,39.1263776429,51.3397463168,131.362792138,76.0577524147,806.7649798920784,7.0753765212,8.68208113326,5.95553271624,1.57253368648,23.649064237,6.69403704064,14.9390704976,26.73307341499455,18.8235556179,6.35250447645,26.9984150536,1.86994509937,7.70656113474,1.7791188549,21.8471338017,21.0708361571,63.973620145,12.3888429614,107.372656241,22.1710411642,93.109918901,28.4828714682,101.753076578,52.4645567063,236.796054148,313.63277620037474
15.2818423792,6.67169552073,2.17860509948,13.967940885,9.49831121593,19.0776489416,66.3761940384,11.8160046212,60.1050689457,11.9591231506,23.4149151481,2.01954062513,273.954506311,30.0317571033,51.4517307026,141.09492657038604,75.9355876389,826.3967748548739,5.39561089854,7.6360473547,5.72138361465,8.22174352717e-08,21.2464903281,7.68800769779,17.0808057013,32.4940127441,19.5463638741,4.96248912787,27.8433880856,2.70503974843,6.13877992792,2.66395348094,23.1604050969,18.0841379415,64.6964283499,10.9161747714,108.349974327,17.929643137863568,92.7637852508,25.9290223906,102.119570845,42.9587832839,238.862674869,327.911934543923
15.4554996644,3.99411787566,3.3697117303,17.502685612,8.88748734555,13.7591043862,65.4090562606,12.3242228327,60.7057124261,11.9401752883,24.7485471719,0.694629159645,270.808763375,1.00814313722,49.995933933,193.59416735510933,75.8134228631,912.8561707531896,4.43865345937,4.26507001588,4.5200966452,4.717601171163407,19.6888894299,7.47768555196,17.7130446089,31.0392864801,18.7013908721,1.38101171927,28.6883611177,1.6862388578,6.86158813276,5.78917589053,24.5958412193,9.64637028413,63.973620145,2.3050892359,107.75951131,4.07544387771,92.4176517334,13.0149166025,102.363900427,7.33850608182,240.807130866,394.69030407450055
15.6291570019,3.05486023931,3.83800999353,18.6735846841,8.1544987594,12.0090520985,66.0096997197,12.1339930974,60.5835476502,11.9201791243,26.3265088501,0.485437177967,267.66302049,11.7534728947,51.675699547,225.26241614,76.4140663735,960.0398935933599,3.35953123571,1.38767830985,4.04161794062,8.38110018095,18.1312885317,5.78213623507,20.1442468291,29.5217410052,17.9785826159,0.8090619877,27.1205798808,1.99568602319,7.70656113474,7.21763374043,25.3084691156,6.84457055,64.6964283499,0.836902714277,108.014021251,2.4462883838,94.3621076489,7.22146867402,101.885421743,5.91502418707,242.028778555,434.34110475257853
