lap1-0.csv,lap1-0.csv (from view of ref lap),lap1-1.csv,lap1-1.csv (from view of ref lap),lap1-10.csv,lap1-10.csv (from view of ref lap),lap1-11.csv,lap1-11.csv (from view of ref lap),lap1-12.csv,lap1-12.csv (from view of ref lap),lap1-13.csv,lap1-13.csv (from view of ref lap),lap1-14.csv,lap1-14.csv (from view of ref lap),lap1-15.csv,lap1-15.csv (from view of ref lap),lap1-16.csv,lap1-16.csv (from view of ref lap),lap1-17.csv,lap1-17.csv (from view of ref lap),lap1-18.csv,lap1-18.csv (from view of ref lap),lap1-19.csv,lap1-19.csv (from view of ref lap),lap1-2.csv,lap1-2.csv (from view of ref lap),lap1-20.csv,lap1-20.csv (from view of ref lap),lap1-21.csv,lap1-21.csv (from view of ref lap),lap1-22.csv,lap1-22.csv (from view of ref lap),lap1-23.csv,lap1-23.csv (from view of ref lap),lap1-24.csv,lap1-24.csv (from view of ref lap),lap1-25.csv,lap1-25.csv (from view of ref lap),lap1-26.csv,lap1-26.csv (from view of ref lap),lap1-27.csv,lap1-27.csv (from view of ref lap),lap1-28.csv,lap1-28.csv (from view of ref lap),lap1-29.csv,lap1-29.csv (from view of ref lap),lap1-3.csv,lap1-3.csv (from view of ref lap),lap1-30.csv,lap1-30.csv (from view of ref lap),lap1-31.csv,lap1-31.csv (from view of ref lap),lap1-32.csv,lap1-32.csv (from view of ref lap),lap1-33.csv,lap1-33.csv (from view of ref lap),lap1-4.csv,lap1-4.csv (from view of ref lap),lap1-5.csv,lap1-5.csv (from view of ref lap),lap1-6.csv,lap1-6.csv (from view of ref lap),lap1-7.csv,lap1-7.csv (from view of ref lap),lap1-8.csv,lap1-8.csv (from view of ref lap),lap1-9.csv,lap1-9.csv (from view of ref lap)
2.77369164209,22.89643676854786,16.1599131357,15.7253373325,12.9994474614,22.6124330271,2.8626131399,4.68874707514,7.30921310391,7.07640180214,2.40090134302,7.459182440744345,456.970671651,554.8225720911263,8.38059613388,0.68267084695,7.86266866827,7.1185258136,6.46396521995,6.42502334066,22.0154722221,20.4429385201,7.07640180641,6.0467012339,16.7741971797,17.1627952882,14.2207235019,11.0077361778,11.1780963236,11.007736149849382,21.6081124523,21.7214672037,11.7940030815,9.64862654807,13.3665367215,12.5802699055,9.43520234543,8.964821625280802,188.620994059,339.945356416,12.373876313,12.255601074,16.71396728,4.53352269196,19.6689227129,24.4628838735,14.6898518071,13.382828369,11.7940029496,11.8662416585,182.68822239789594,112.46090190192031,12.281533996,12.1014937895,57.3974812759,57.2279043523,10.8209686356,10.211656657,12.3209048901,26.9818816768,8.87472055283,12.0866559126,4.71760114323,11.8232591368,11.3090431014,12.1920417392,17.2978710261,16.437672119
5.21406413423,25.9130180258,16.5116041736,15.0628878441,12.4637559537,21.3956204878,3.14506745986,2.43120219579,6.36877689033,7.0764018452,2.95495555428,10.895706258,440.589042925,568.207163189755,8.17822375685,1.56039045231,8.95720897133,7.54563730587,8.58783950838,6.64408084064,21.8851393469,20.0382922035,7.66441587069,6.20311139732,16.4369400646,8.095112809970441,13.6666693106,7.86266865275,9.65491576638,11.0077361079,22.0154722873,21.6081124153,10.8963985206,6.31525490584,13.389642218356336,12.5802698643,9.78829032392,11.0077361778,153.322448494,340.324903926,11.912164551,12.2119868251,16.8063096782,3.43670267864,18.9301838508,25.5748331719,14.4279581407,14.4553404474,12.8355880961,11.7940029863,182.84720097178638,105.547358349987,12.743245722,11.448218428399478,56.7905516939,57.5530629347,8.8686706477,10.221469274,10.9042984099,29.0591242609,8.95720891228,12.4447789975,3.1396402653,14.3023295073,10.1662345492,12.2438642421,17.9351667122,16.592327621
7.65443658788,30.0226301381,15.0518047258,16.0043183036,11.6542665179,20.9185332165,3.78603671818,0.914236015329,6.29013495075,7.862668618605679,3.14506743503,14.6195551834,394.393366146,582.309050330116,7.49968118552,3.35533828659,10.3313173309,8.74965182897,8.59565589185,8.47459290111,21.1464004784,20.4429385201,7.75675825611,5.559746310290051,15.3288318059,4.44779703875,14.1528035756,7.86266867447,7.47973112609,12.6781722262496,21.977481753,21.243760931834778,10.0653172546,3.83391640572,11.7274798516,12.5802698736,9.51126314408,11.7191710331,131.327130643,339.825704063,11.7940029931,13.146253654,17.54504847,3.21322851451,19.6689227129,27.3068890739,14.0946389859,15.9327688061,12.4802312503,12.1905502173,182.52233145054348,100.095527956,12.8355881039,12.6709757626,58.0833447355,53.211158437917625,7.32111738972,11.1194926403,11.4518941408,31.5186739574,9.41892073441,13.7046445414,3.87837912029,17.4081374331,10.2214693299,13.4563805538,17.9144178903,17.6087433785
10.2971814329,32.5098339185,16.0675706673,15.9641764669,11.9280644459,19.6627373357,3.50900968268,4.07889909746,6.53413492604,7.97274877774,3.93133429999,17.2516881521,333.435930863,595.6945835238668,8.17822375685,4.70748956198,10.9925215806,9.28815387942,9.75276347679,8.58783946096,21.9774817293,19.5559004553,7.66441587069,8.42416070789,16.9909942141,10.490108379666802,13.7590117215,7.07640182658,8.40315479899,13.435734103577234,21.7927970674,22.779282372,10.342344347,2.51404363065,12.2815339019,12.8133462659,8.7725242756,11.794003021,109.191912314,340.140015087,12.2815339583,11.448218428399478,16.8063096782,3.03471584548,18.8378415164,27.6650122136,13.0827772356,15.6076103003,12.5628817933,11.820182835593897,181.64296240573577,94.3067912134,12.0045069092,13.3433912158,57.6900755801,50.71268910248987,7.60690330872,11.0077361498,9.96386217219,31.9296996712,8.58783948214,14.3219708866,3.97072154545,19.3283674854,10.3375865613,13.2514610988,19.0225262619,17.8499590563
9.82101104115,34.6928170509,15.7862527341,15.786252737,11.7256920689,17.8141038975,3.60135206503,8.28757569625,6.09459566627,8.1482918275,3.14506739778,19.8547050318,292.8850869,610.6474688182309,7.49968118552,6.00843076945,11.2404732177,10.4054515538,9.67011290733,8.68460138809,21.2292053696,18.2172524656,6.92567700384,12.0375953349,15.6058589628,9.56534930413,13.5743269568,5.87841055337,8.86486656817,15.6209516574,22.6238783197,22.2329947348,9.43520239819,1.19224802209,11.794002931,13.6534162386,9.60360552643,11.7940029209,89.2270952286,340.398859513,12.5802698891,11.7940029558,17.54504847,2.92760819839,19.6689227129,28.1282971191,13.3665367215,15.690508155,11.8198221583,14.498044679454145,182.42069104953126,87.9226415103,12.743245722,13.3665367052,57.8553766662,51.834013337425546,6.83333455936,11.5320116612,9.43520239819,32.386770998,9.41892073441,15.0423978818,4.52477564082,20.5234009062,10.0653172093,13.667569404,18.0178172884,17.9351667122
11.3804686475,35.8047663287,15.7036023382,15.7036023317,12.2018622873,16.6914721368,2.77027081421,12.0293895901,7.01801930396,7.85728143862,3.93133433103,21.1323121663,235.862000284,624.0334178709466,8.17822375685,6.51334098495,12.2815339613,10.9531068561,9.75276347679,9.01909035193,21.9774817293,17.2978710831,7.66441587069,15.7672913195,15.8828859435,7.43246538692,14.49775059,5.07126894871,9.51126311734,16.03847788,21.8851393741,22.1167922583,10.221469257,0.0923423607149,13.1126152091,14.0168540033,8.86486660546,11.7940029977,59.4021644234,340.71317051,13.2049575328,11.119492707489727,16.8063096782,3.18093397731,18.9301838508,28.4248304183,13.3665367773,15.7951115709,12.5628817933,18.313089665,182.44102367622372,82.5861264126,12.0045069092,13.7017165513,57.1115218434,56.37045421175391,7.66441592974,12.060783247,10.2214692182,31.7207031478,8.68018186756,14.9597473976,4.61711799615,20.7365136849,10.2500019276,13.3665367494,18.6790217215,18.101222608705474
12.4637559488,36.297375581,15.0423979903,15.0912746335,11.9994899344,16.4205066877,3.60135206503,13.807647197,6.37162291439,8.20133257828,4.71760109047,22.651628731,193.362688378,638.9868486916256,7.49968118552,7.48194873577,12.3149301345,11.6335329506,9.0089086276,9.29918638059,21.1464004784,16.5116042518,6.92567700384,18.1724713409,15.7253373986,4.81356881716,13.6666692801,6.14403735418,9.43520237957,16.8447581565,22.6238783197,21.8839838639,11.0077360971,0.184684734552,12.4662186877,13.389642303653488,9.69594779723,11.0077361498,41.1503518208,340.972014878,12.9279304553,11.2404732501,17.54504847,3.83731718005,19.6689227129,28.5186170745,13.3665366935,16.004318436,11.7363764011,22.042759033,181.64296240573577,77.2950044808,12.743245722,14.3306642021,57.8553766662,64.34911025257182,7.75675826507,12.8986115612,10.221469274,29.9844120245,9.51126306078,14.959747426991553,5.35585689128,20.432310558,11.1734255653,12.5802698847,17.8525162147,17.369202801478124
14.0232135552,35.7402461334,15.328831911,14.9390704759,11.820182805863826,15.7253372651,3.50900968268,14.6702475027,5.72522636459,8.36827095962,5.50386802371,22.8554264399,163.78706679,652.3731578140685,8.17822375685,8.46915019918,12.7281828507,12.2815338796,9.83541401983,9.11340776015,21.9774817293,15.3370767743,7.66441587069,19.7182056051,16.5116041518,2.9101041739,14.49775059,7.02175687563,10.0653172741,17.460368716,21.8851393741,20.8643400652,11.0077361002,0.367473528824,12.743245722,13.3665366684,9.60360552643,12.0090520102,15.1682603585,341.286326013,13.4819846038,11.0077361554,16.8063096782,4.42287180446,18.8378415164,28.114416157,13.6534162527,16.1335280835,12.5628817933,24.721670231,182.42069104953126,72.481995876,12.0045069092,14.4352674856,57.1115218434,73.42233935416364,7.84910061868,12.967445299046096,10.9227330243,28.3485761473,8.77252416768,15.5566234754,4.52477564082,20.0774067995,10.6193714474,12.1560109358,19.340225946,15.328831804
15.7850432641,33.89165915320108,14.8770968779,14.9390705178,11.7940030257,15.0691634168,3.60135206503,15.0036621272,6.64864988156,8.57747782754,4.71760109047,23.002564474,149.157096402,667.3270673994803,7.49968118552,9.18936478175,13.3665367339,12.8506402029,9.0089086276,8.64893554969,21.1464004784,14.1528036237,6.92567700384,20.8935874436,16.4369401534,1.5725337516549465,13.6666692801,8.09452543338,11.2657680871,17.6075067314,22.7162205673,19.6566717002,11.7940029745,1.33209186368,12.5802698891,13.5657810603,8.86486660546,11.7940030257,10.2822477415,341.545170301,12.6509034106,10.221469302,17.54504847,5.29971368362,19.6689227129,27.7429647499,13.0682697897,16.4136240684,11.7363764011,27.4564342178,181.64296240573577,67.31656744377021,12.743245722,14.4557504241,57.8553766662,84.5081442103,7.20270414716,12.3019988756,11.2153061935,26.6319669717,9.51126306078,16.3385702331,5.26351453595,19.509512871,11.5427950556,12.8108334166,19.257575415,12.7533332868
16.6659583377,33.3497944907,15.2076990655,15.2818423876,12.5802698456,16.0775088435,2.77027081421,13.8099400083,6.00225354059,9.02715274688,5.50386802371,23.8853920627,142.314302873,681.4353165270862,7.29730893368,10.6440886306,14.1528036159,13.389642221636995,9.83541401983,8.64893554848,21.9774817293,14.1528035538,7.66441587069,21.7764149659,16.1599130326,2.02802086409,14.49775059,9.84996461552,10.9887409047,18.2788615927,21.8851393741,19.6566716443,11.0077361002,2.97412955915,12.466218666,13.932684360437122,9.60360552643,11.9973270609,36.656446144,341.045970465,13.4819846038,10.2214692461,16.8063096782,7.17020089279,20.4076616023,28.1253332078,12.4662186069,17.3641623643,12.4802312503,30.3932004826,182.42069104953126,64.8770830661,12.0045069092,15.1081850964,58.5992315154,94.93338087964285,8.03378531264,9.72558407083,9.94748897363,25.5989447232,8.68018186756,17.1913118649,4.52477564082,19.0217750068,11.6351374003,13.5984404171,19.1749248781,10.7796822051
